site_id,mgmt_unit_id,survey_year,action,native_cover,native_indicators,plant_community,state,state_daren,state_condensed,state_binary
26,89,2019,Rest,N75,I0,Herb,18,16,10,6
26,89,2019,Rest,N75,I1,Shrub,16,17,11,7
26,89,2019,Rest,N50,I0,Shrub,9,9,5,5
26,89,2019,Rest,N75,I0,Herb,18,16,10,6
26,89,2019,Rest,N50,I1,Herb,13,12,8,8
26,89,2019,Rest,N25,I1,Herb,8,8,8,4
26,89,2019,Rest,N75,I0,Herb,18,16,10,6
26,89,2019,Rest,N75,I1,Herb,19,18,12,8
26,89,2019,Rest,N75,I1,Herb,19,18,12,8
26,89,2019,Rest,N75,I0,Herb,18,16,10,6
26,89,2019,Rest,N25,I2,Herb,8,8,8,4
26,89,2019,Rest,N75,I0,Herb,18,16,10,6
26,89,2010,Rest,N25,I0,Herb,7,6,6,2
26,89,2010,Rest,N50,I2,Herb,14,14,8,8
26,89,2010,Rest,N75,I2,Herb,20,20,12,8
26,89,2010,Rest,N50,I0,Shrub,9,9,5,5
26,89,2010,Rest,N25,I0,Herb,7,6,6,2
26,89,2010,Rest,N50,I0,Herb,12,10,6,6
26,89,2010,Rest,N0,I0,Herb,3,2,2,2
26,89,2010,Rest,N0,I0,Herb,3,2,2,2
26,89,2010,Rest,N0,I0,Herb,3,2,2,2
26,89,2016,Rest,N75,I0,Herb,18,16,10,6
26,89,2016,Rest,N0,I0,Herb,3,2,2,2
26,89,2016,Rest,N75,I0,Herb,18,16,10,6
26,89,2016,Rest,N25,I1,Herb,8,8,8,4
26,89,2016,Rest,N0,I0,Herb,3,2,2,2
26,89,2016,Rest,N75,I0,Herb,18,16,10,6
26,89,2016,Rest,N75,I0,Herb,18,16,10,6
26,89,2016,Rest,N25,I1,Herb,8,8,8,4
26,89,2016,Rest,N50,I1,Shrub,10,11,7,7
26,89,2016,Rest,N50,I0,Herb,12,10,6,6
69,271,2019,Graze,N0,I0,Herb,3,2,2,2
69,271,2019,Graze,N50,I0,Herb,12,10,6,6
69,271,2019,Graze,N0,I0,Herb,3,2,2,2
69,271,2019,Graze,N25,I0,Shrub,5,5,5,1
69,271,2019,Graze,N25,I0,Herb,7,6,6,2
69,271,2019,Graze,N25,I0,Herb,7,6,6,2
69,271,2019,Graze,N25,I0,Herb,7,6,6,2
69,271,2019,Graze,N50,I0,Herb,12,10,6,6
69,271,2019,Graze,N0,I0,Herb,3,2,2,2
69,271,2019,Graze,N0,I0,Shrub,1,1,1,1
69,271,2016,Graze,N0,I0,Herb,3,2,2,2
69,271,2016,Graze,N25,I0,Herb,7,6,6,2
69,271,2016,Graze,N25,I0,Herb,7,6,6,2
69,271,2016,Graze,N0,I0,Shrub,1,1,1,1
69,271,2016,Graze,N25,I0,Herb,7,6,6,2
69,271,2016,Graze,N25,I0,Herb,7,6,6,2
69,271,2016,Graze,N25,I0,Herb,7,6,6,2
69,271,2016,Graze,N50,I0,Herb,12,10,6,6
69,271,2016,Graze,N25,I0,Herb,7,6,6,2
69,271,2016,Graze,N25,I0,Shrub,5,5,5,1
69,272,2019,Graze,N50,I0,Herb,12,10,6,6
69,272,2019,Graze,N50,I0,Shrub,9,9,5,5
69,272,2019,Graze,N50,I0,Herb,12,10,6,6
69,272,2019,Graze,N50,I1,Herb,13,12,8,8
69,272,2019,Graze,N50,I1,Herb,13,12,8,8
69,272,2019,Graze,N50,I0,Herb,12,10,6,6
69,272,2019,Graze,N50,I0,Herb,12,10,6,6
69,272,2019,Graze,N25,I0,Shrub,5,5,5,1
69,272,2019,Graze,N50,I0,Herb,12,10,6,6
69,272,2019,Graze,N25,I0,Herb,7,6,6,2
69,272,2019,Graze,N50,I0,Shrub,9,9,5,5
69,272,2019,Graze,N50,I1,Herb,13,12,8,8
69,272,2019,Graze,N50,I0,Shrub,9,9,5,5
69,272,2019,Graze,N50,I0,Herb,12,10,6,6
69,272,2019,Graze,N25,I0,Shrub,5,5,5,1
69,272,2016,Burn,N0,I0,Herb,3,2,2,2
69,272,2016,Burn,N25,I0,Herb,7,6,6,2
69,272,2016,Burn,N25,I0,Herb,7,6,6,2
69,272,2016,Burn,N25,I0,Herb,7,6,6,2
69,272,2016,Burn,N0,I0,Herb,3,2,2,2
69,272,2016,Burn,N25,I0,Herb,7,6,6,2
69,272,2016,Burn,N0,I0,Herb,3,2,2,2
69,272,2016,Burn,N25,I0,Herb,7,6,6,2
69,272,2016,Burn,N50,I0,Herb,12,10,6,6
69,272,2016,Burn,N25,I0,Shrub,5,5,5,1
69,272,2016,Burn,N50,I0,Herb,12,10,6,6
69,272,2016,Burn,N25,I0,Herb,7,6,6,2
69,272,2016,Burn,N25,I0,Herb,7,6,6,2
69,272,2016,Burn,N25,I0,Shrub,5,5,5,1
69,272,2016,Burn,N25,I0,Herb,7,6,6,2
69,272,2016,Graze,N0,I0,Herb,3,2,2,2
69,272,2016,Graze,N25,I0,Herb,7,6,6,2
69,272,2016,Graze,N25,I0,Herb,7,6,6,2
69,272,2016,Graze,N25,I0,Herb,7,6,6,2
69,272,2016,Graze,N0,I0,Herb,3,2,2,2
69,272,2016,Graze,N25,I0,Herb,7,6,6,2
69,272,2016,Graze,N0,I0,Herb,3,2,2,2
69,272,2016,Graze,N25,I0,Herb,7,6,6,2
69,272,2016,Graze,N50,I0,Herb,12,10,6,6
69,272,2016,Graze,N25,I0,Shrub,5,5,5,1
69,272,2016,Graze,N50,I0,Herb,12,10,6,6
69,272,2016,Graze,N25,I0,Herb,7,6,6,2
69,272,2016,Graze,N25,I0,Herb,7,6,6,2
69,272,2016,Graze,N25,I0,Shrub,5,5,5,1
69,272,2016,Graze,N25,I0,Herb,7,6,6,2
53,153,2019,Rest,N0,I0,Herb,3,2,2,2
53,153,2019,Rest,N0,I2,Herb,4,4,3,4
53,153,2019,Rest,N25,I0,Herb,7,6,6,2
53,153,2019,Rest,N50,I0,Herb,12,10,6,6
53,153,2019,Rest,N50,I0,Herb,12,10,6,6
53,153,2019,Rest,N25,I1,Shrub,6,7,7,3
53,153,2019,Rest,N0,I0,Herb,3,2,2,2
53,153,2019,Rest,N75,I0,Shrub,15,15,9,5
53,153,2019,Rest,N25,I0,Herb,7,6,6,2
53,153,2019,Rest,N0,I0,Herb,3,2,2,2
53,153,2019,Rest,N25,I1,Herb,8,8,8,4
53,153,2019,Rest,N0,I0,Herb,3,2,2,2
53,153,2019,Rest,N25,I0,Herb,7,6,6,2
53,153,2019,Rest,N25,I0,Herb,7,6,6,2
53,153,2019,Rest,N50,I2,Herb,14,14,8,8
53,153,2013,Rest,N25,I0,Herb,7,6,6,2
53,153,2013,Rest,N25,I2,Herb,8,8,8,4
53,153,2013,Rest,N50,I2,Herb,14,14,8,8
53,153,2013,Rest,N75,I1,Herb,19,18,12,8
53,153,2013,Rest,N50,I0,Herb,12,10,6,6
53,153,2013,Rest,N50,I2,Herb,14,14,8,8
53,153,2013,Rest,N25,I0,Herb,7,6,6,2
53,153,2013,Rest,N25,I0,Herb,7,6,6,2
53,153,2013,Rest,N25,I0,Herb,7,6,6,2
53,153,2013,Rest,N25,I0,Herb,7,6,6,2
53,153,2013,Rest,N25,I1,Herb,8,8,8,4
53,153,2013,Rest,N0,I0,Shrub,1,1,1,1
53,153,2013,Rest,N25,I0,Herb,7,6,6,2
53,153,2013,Rest,N25,I1,Shrub,6,7,7,3
53,153,2013,Rest,N50,I1,Shrub,10,11,7,7
53,153,2016,Rest,N0,I0,Herb,3,2,2,2
53,153,2016,Rest,N0,I1,Herb,4,4,3,4
53,153,2016,Rest,N50,I1,Herb,13,12,8,8
53,153,2016,Rest,N50,I0,Herb,12,10,6,6
53,153,2016,Rest,N50,I0,Herb,12,10,6,6
53,153,2016,Rest,N25,I0,Herb,7,6,6,2
53,153,2016,Rest,N25,I0,Herb,7,6,6,2
