GlobalID,system_type,survey_year,native_cover,native_indicators,plant_community,state,state_daren,state_condensed
8875a230-3560-4c08-9418-39999748edbd,upland_grassland,2009,N0,I0,Shrub,1,1,1
4a533149-97ab-4ee3-9178-b060b599aea8,not_recorded,2019,N50,I0,Herb,12,10,6
610af29b-eb13-4f6b-92a6-48cf69c04cca,upland_grassland,2010,N25,I0,Herb,7,6,6
8fc7d829-425a-43e2-bce2-925c49776ec9,not_recorded,2013,N50,I0,Shrub,9,9,5
c8b4cd2b-59ef-4b75-b88f-75e6e50cc63d,upland_grassland,2016,N25,I0,Shrub,5,5,5
f073b335-8605-469d-ad55-8c69b67ce0de,upland_grassland,2009,N50,I0,Shrub,9,9,5
81a1e51f-b0d3-4a55-9394-a28745ade67d,not_recorded,2019,N50,I1,Herb,13,12,8
c7788286-832d-49dc-9454-55b1d2699217,upland_grassland,2010,N50,I0,Herb,12,10,6
17883c50-569d-4633-a6db-dfe2b0dd6610,lowland_grassland,2013,N75,I1,Herb,19,18,12
a972b5fc-0123-4a5a-9323-093cc6cd0a39,upland_grassland,2016,,,,,,
ce258d04-6434-4ce1-8490-2b8159de08b2,upland_grassland,2009,N75,I2,Herb,20,20,12
278b6e5f-5ace-46f0-930b-efaa5ceadc45,not_recorded,2019,N75,I1,Herb,19,18,12
f8e44a71-d727-4f48-b7ac-ca4448deb57e,upland_grassland,2010,N50,I1,Herb,13,12,8
e75c41c5-381f-44f1-876b-b8a8873996da,not_recorded,2013,N75,I2,Herb,20,20,12
844691c1-ad65-4ec3-829e-cb2fbdf9c3de,upland_grassland,2016,N50,I1,Herb,13,12,8
921559ad-22b9-488f-8ac1-7fcaa83b0c24,lowland_grassland,2009,N50,I1,Herb,13,12,8
6dc6d4f5-851f-4cd1-9cbc-e8c1e836fdea,not_recorded,2019,N75,I1,Herb,19,18,12
a29443a1-2814-4f20-8ad7-83df5fb66d99,lowland_grassland,2010,N50,I1,Herb,13,12,8
d51301aa-105b-44d4-b8ea-218912195a07,lowland_grassland,2013,N75,I1,Herb,19,18,12
b7f27da5-5e6a-4328-9989-7c0dac374850,lowland_grassland,2016,N75,I2,Shrub,17,19,11
8dec4799-3695-49ca-9750-16f087d866e6,upland_grassland,2009,N75,I1,Herb,19,18,12
2ed4dbfd-a3c2-412b-a486-f3ff75f51d05,not_recorded,2019,N0,I1,Herb,4,4,3
ad95ecc1-c16f-4643-a3ca-4f974e11a5e6,upland_grassland,2010,N25,I1,Herb,8,8,8
4fdb67dd-5e2b-416d-b0d9-a137385db7c4,upland_grassland,2013,N0,I1,Shrub,2,3,4
e02820e3-4df1-4eda-ac41-c64178881e19,upland_grassland,2016,N0,I2,Shrub,2,3,4
bf0eea0b-639c-430c-9c8a-793c3fde3231,upland_grassland,2009,N50,I0,Herb,12,10,6
6f9fc90b-3ac9-424d-b500-1cd5c085bcf8,not_recorded,2019,N0,,Herb,,,
25bfe301-ac5c-4c2a-b796-99b1e31eeb61,upland_grassland,2010,N25,I1,Shrub,6,7,7
df782464-1385-474e-ae23-281183021b9c,upland_grassland,2016,N0,I0,Herb,3,2,2
ad3ea148-8756-42fc-b7b3-c2c0083473a9,lowland_grassland,2009,N75,I0,Shrub,15,15,9
fd37b206-d1eb-4d4c-ba5b-5d12ac25dd63,not_recorded,2019,N0,I0,Shrub,1,1,1
abbcf68e-f649-441f-8a18-7dd95eb4756c,lowland_grassland,2010,N25,I0,Herb,7,6,6
fca23ae4-7cbc-4192-b4ec-31d7d1eb3020,not_recorded,2013,N75,I0,Shrub,15,15,9
09d32180-28e5-447d-a81c-9e8574c004f6,lowland_grassland,2016,N50,,Shrub,,,
2456e935-d1a4-46f1-93be-301aed49a304,upland_grassland,2009,N75,I1,Herb,19,18,12
3ae23e77-c3f9-455c-9716-cd5813382207,not_recorded,2019,N50,I1,Herb,13,12,8
b5717c2e-acd0-40cc-bc6c-d3a3a12bd1e4,upland_grassland,2010,N50,I0,Herb,12,10,6
